Designator,Mid X,Mid Y,Rotation,Layer
C1,183.896,-133.604,0.0,top
C10,235.6905,-54.864,0.0,top
C11,128.016,-61.468,0.0,top
C12,170.7095,-67.564,0.0,top
C13,109.728,-93.9585,90.0,top
C14,173.7145,-100.076,0.0,top
C15,83.82,-86.36,0.0,top
C16,54.8425,-119.888,0.0,top
C17,133.0745,-131.064,0.0,top
C18,51.2865,-67.564,0.0,top
C19,215.4135,-113.792,0.0,top
C2,71.644,-121.26,0.0,top
C20,232.6855,-131.064,0.0,top
C21,103.14,-86.868,0.0,top
C22,241.824,-81.788,0.0,top
C3,196.612,-129.032,0.0,top
C4,157.0325,-118.327,0.0,top
C5,161.782,-145.288,0.0,top
C6,53.34,-124.308,90.0,top
C7,244.237,-136.22,0.0,top
C8,71.9525,-110.636,0.0,top
C9,124.952,-44.704,0.0,top
D1,118.872,-48.768,0.0,top
D2,118.8355,-52.832,0.0,top
D3,172.224,-123.407,90.0,top
J1,62.738,-45.466,90.0,top
J2,118.618,-144.526,270.0,top
J3,105.918,-45.974,90.0,top
R1,124.9315,-48.718,180.0,top
R2,124.9315,-52.832,180.0,top
R3,217.043,-131.394,0.0,top
R4,174.002,-128.741,90.0,top
U1,137.16,-48.26,0.0,top
U10,141.097,-97.247,90.0,top
U11,160.401,-97.212,90.0,top
U12,113.411,-110.096,90.0,top
U13,132.461,-109.982,90.0,top
U14,150.495,-109.982,90.0,top
U15,169.037,-110.096,90.0,top
U16,192.532,-61.214,0.0,top
U17,214.63,-60.96,0.0,top
U18,236.601,-60.96,0.0,top
U19,192.527,-101.854,0.0,top
U2,116.967,-63.465,90.0,top
U20,214.63,-101.351,0.0,top
U21,236.855,-101.351,0.0,top
U22,223.266,-130.886,90.0,top
U23,150.752,-47.752,0.0,top
U24,163.895,-49.465,90.0,top
U25,178.308,-48.26,0.0,top
U26,51.781,-58.039,0.0,top
U27,82.515,-110.814,90.0,top
U28,65.024,-58.039,0.0,top
U29,78.74,-58.039,0.0,top
U3,139.573,-63.465,90.0,top
U30,92.964,-58.039,0.0,top
U31,51.746,-77.343,0.0,top
U32,64.989,-77.089,0.0,top
U33,78.889,-77.089,0.0,top
U34,92.964,-76.962,0.0,top
U35,51.781,-96.139,0.0,top
U36,65.243,-96.266,0.0,top
U37,78.74,-96.139,0.0,top
U38,93.288,-96.139,0.0,top
U39,59.274,-111.033,90.0,top
U4,160.655,-63.465,90.0,top
U40,87.538,-126.187,180.0,top
U41,110.109,-126.06,180.0,top
U42,98.933,-125.806,90.0,top
U43,50.46,-131.928,0.0,top
U44,73.609,-132.055,0.0,top
U45,62.103,-132.258,270.0,top
U46,176.819,-141.351,0.0,top
U47,200.117,-141.605,0.0,top
U48,187.96,-141.732,90.0,top
U49,149.907,-125.947,0.0,top
U5,111.887,-78.854,90.0,top
U50,161.417,-126.162,90.0,top
U6,130.937,-78.854,90.0,top
U7,150.241,-78.924,90.0,top
U8,168.275,-78.889,90.0,top
U9,121.539,-96.993,90.0,top
