Designator,Footprint,Quantity,Value,LCSC Part #
"_5, _4, _3, _2, ",,5,,
C1,0805,1,100nF,
C2,CP_Radial_D4.0mm_P2.00mm,1,10µF,
C3,0805,1,1µF,
"D1, D2",1206,2,LED,
J1,PinHeader_2x22_P2.54mm_Vertical,1,SLOT1,
J2,PinHeader_2x22_P2.54mm_Vertical,1,SLOT2,
J3,PinHeader_2x22_P2.54mm_Vertical,1,SLOT3,
J4,PinHeader_2x22_P2.54mm_Vertical,1,SLOT4,
J5,PinHeader_2x22_P2.54mm_Vertical,1,SLOT5,
J6,PinHeader_2x22_P2.54mm_Vertical,1,GPIO,
"J7, J8",TerminalBlock_bornier-2_P5.08mm,2,Screw_Terminal_01x02,
"R1, R2, R3, R4, R5, R6, R7",1206,7,2K,
"RN1, RN2, RN3",R_Array_SIP9,3,R_Network08,
U1,DIP-14_W7.62mm,1,74HCT04,
