Designator,Mid X,Mid Y,Rotation,Layer
_5,250.444,-116.84,0.0,top
_4,101.6,-116.84,0.0,top
_3,101.6,-61.976,0.0,top
_2,250.444,-61.976,0.0,top
,181.356,-82.804,0.0,top
C1,248.1265,-66.045,0.0,top
C2,105.648,-80.772,0.0,top
C3,245.5865,-90.429,0.0,top
D1,114.3,-94.488,0.0,top
D2,113.792,-108.712,0.0,top
J1,126.238,-89.662,180.0,bottom
J2,147.574,-89.662,180.0,bottom
J3,168.91,-89.662,180.0,bottom
J4,190.246,-89.662,180.0,bottom
J5,211.582,-89.662,180.0,bottom
J6,232.918,-89.662,180.0,bottom
J7,103.632,-91.948,270.0,top
J8,103.632,-105.156,270.0,top
R1,114.2895,-98.044,180.0,top
R2,113.799,-111.544,180.0,top
R3,240.284,-106.172,180.0,top
R4,240.284,-103.632,180.0,top
R5,241.326,-113.792,180.0,top
R6,241.3,-111.252,180.0,top
R7,241.3,-108.712,180.0,top
RN1,120.396,-106.172,90.0,top
RN2,120.396,-81.788,90.0,top
RN3,238.76,-85.344,90.0,top
U1,246.634,-78.74,0.0,top
