Designator,Mid X,Mid Y,Rotation,Layer
C1,102.616,-94.7635,90.0,top
C2,148.844,-94.726,90.0,top
D1,175.082,-84.4185,270.0,top
D10,108.7,-84.4185,270.0,top
D11,104.636,-84.4185,270.0,top
D12,100.406,-84.4185,270.0,top
D13,96.518,-84.4185,270.0,top
D14,92.464,-84.4185,270.0,top
D15,88.244,-84.4185,270.0,top
D16,84.366,-84.4185,270.0,top
D17,80.086,-84.4185,270.0,top
D18,76.022,-84.4185,270.0,top
D19,150.241,-116.51,270.0,top
D2,171.018,-84.4185,270.0,top
D20,146.177,-116.51,270.0,top
D21,142.269,-116.51,270.0,top
D22,138.195,-116.51,270.0,top
D23,133.955,-116.51,270.0,top
D24,130.057,-116.51,270.0,top
D25,144.084,-84.382,270.0,top
D26,140.02,-84.382,270.0,top
D27,135.79,-84.382,270.0,top
D28,131.892,-84.382,270.0,top
D29,127.994,-84.382,270.0,top
D3,167.286,-84.4185,270.0,top
D30,124.076,-84.382,270.0,top
D31,120.198,-84.382,270.0,top
D32,116.154,-84.382,270.0,top
D33,126.365,-116.4735,270.0,top
D34,122.673,-116.4735,270.0,top
D35,118.765,-116.51,270.0,top
D36,114.691,-116.51,270.0,top
D37,110.451,-116.5465,270.0,top
D38,106.553,-116.583,270.0,top
D39,102.489,-116.583,270.0,top
D4,163.388,-84.4185,270.0,top
D40,112.268,-127.838,0.0,top
D5,159.324,-84.4185,270.0,top
D6,155.602,-84.4185,270.0,top
D7,151.714,-84.4185,270.0,top
D8,147.982,-84.4185,270.0,top
D9,112.09,-84.4185,270.0,top
J1,127.762,-143.51,270.0,top
R1,149.352,-80.264,0.0,top
R2,110.236,-80.264,0.0,top
R3,81.788,-80.264,0.0,top
R4,121.92,-80.264,0.0,top
R5,97.536,-114.808,180.0,top
U1,161.544,-98.806,0.0,top
U2,129.362,-98.679,180.0,top
U3,111.582,-98.679,0.0,top
U4,94.31,-98.679,0.0,top
U5,125.349,-128.016,270.0,top
