Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C7, C8, C9",0805,8,100nF,
"C2, C3, C4, C5, C6",CP_Radial_D4.0mm_P2.00mm,5,10µF,
"D1, D2, D3, D4, D5, D6, D7, D8",1206,8,LED,
J1,PinHeader_2x22_P2.54mm_Vertical,1,TO_BACKPLANE,
J2,PinHeader_2x04_P2.54mm_Vertical,1,TO_ALU,
J3,PinHeader_2x06_P2.54mm_Vertical,1,TO_MEMORY,
J4,PinHeader_2x06_P2.54mm_Vertical,1,TO_REGISTERS,
J5,PinHeader_2x04_P2.54mm_Vertical,1,TO_MULDIV,
"J6, J7, J8",PinHeader_1x01_P2.54mm_Vertical,3,Conn_01x01,
"R1, R10, R11, R2, R6, R8, R9",1206,7,1K,
R3,1206,1,4.7K,
"R4, R5, R7",1206,3,15K,
"U1, U7",SO-20_12.8x7.5mm_P1.27mm,2,74HC574,
"U10, U16, U22, U29",SO-14_3.9x8.65mm_P1.27mm,4,74HCT32,
"U11, U21, U24, U25, U28, U30, U9",SO-14_3.9x8.65mm_P1.27mm,7,74HCT08,
"U12, U13",DIP-24_W15.24mm_Socket,2,28C16,
U14,DIP-16_W7.62mm,1,74HCT163,
U15,SO-14_3.9x8.65mm_P1.27mm,1,74HCT00,
"U17, U2, U23",SO-14_3.9x8.65mm_P1.27mm,3,74HCT04,
"U18, U19, U26, U27",SO-14_3.9x8.65mm_P1.27mm,4,74HCT74,
"U20, U3, U36, U37, U38, U39, U4, U5, U6, U8",SO-16_3.9x9.9mm_P1.27mm,10,74HCT157,
"U31, U32",DIP-16_W7.62mm,2,74HC85,
U33,SO-14_3.9x8.65mm_P1.27mm,1,74HC74,
U34,SO-20_12.8x7.5mm_P1.27mm,1,74HC688,
U35,SO-14_3.9x8.65mm_P1.27mm,1,74HC00,
