Designator,Footprint,Quantity,Value,LCSC Part #
"_6, _5, _4, _3, _2, ",,6,,
"C1, C3, C4",0805,3,1µF,
C2,0805,1,100nF,
C5,CP_Radial_D6.3mm_P2.50mm,1,1000µF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D3, D4, D5, D6, D7, D8, D9",1206,20,LED,
"D21, D22",LED_D5.0mm,2,LED,
J1,PinHeader_2x25_P2.54mm_Vertical,1,TO_FP,
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,2N7002,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R3, R4, R5, R6, R7, R8, R9",1206,19,1K,
"R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35",1206,16,470,
"R36, R37, R38, R39, R40, R41, R42",1206,7,330,
R43,1206,1,200K,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,20,SW_Push,
"U1, U4, U5",SO-20_12.8x7.5mm_P1.27mm,3,74HC244,
"U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U20, U21, U6, U7, U8, U9",7SegmentLED_LTS6760_LTS6780,16,SM420561N,
"U2, U3",SO-16_3.9x9.9mm_P1.27mm,2,74HCT138,
U22,SOIC-8_3.9x4.9mm_P1.27mm,1,NE555D,
