Designator,Mid X,Mid Y,Rotation,Layer
_6,234.188,-85.344,0.0,top
_5,136.652,-93.98,0.0,top
_4,270.764,-32.004,0.0,top
_3,270.764,-149.86,0.0,top
_2,17.78,-149.86,0.0,top
,17.78,-32.004,0.0,top
C1,170.6665,-32.004,180.0,top
C2,166.116,-37.084,180.0,top
C3,136.6735,-77.724,0.0,top
C4,72.1575,-75.692,0.0,top
C5,236.494,-46.736,0.0,bottom
D1,31.5325,-57.912,180.0,top
D10,266.573,-48.26,180.0,top
D11,249.8995,-58.7305,180.0,top
D12,266.646,-58.7305,180.0,top
D13,250.4075,-69.596,180.0,top
D14,267.1715,-69.596,180.0,top
D15,250.371,-80.264,180.0,top
D16,267.135,-80.264,180.0,top
D17,250.4805,-91.948,180.0,top
D18,267.2445,-91.948,180.0,top
D19,250.4075,-102.616,180.0,top
D2,48.26,-57.912,180.0,top
D20,267.1715,-102.616,180.0,top
D21,20.823,-92.964,0.0,top
D22,20.823,-119.888,0.0,top
D3,31.5325,-68.58,180.0,top
D4,48.26,-68.58,180.0,top
D5,66.04,-57.404,180.0,top
D6,82.804,-57.404,180.0,top
D7,66.0035,-68.58,180.0,top
D8,82.7675,-68.58,180.0,top
D9,249.8995,-48.26,180.0,top
J1,215.392,-33.782,90.0,bottom
Q1,37.707,-63.5,180.0,top
Q2,74.0895,-63.434,180.0,top
Q3,245.364,-55.6825,270.0,top
Q4,257.0115,-75.184,180.0,top
Q5,256.54,-97.51,180.0,top
R1,119.38,-36.83,0.0,top
R10,237.414,-131.699,0.0,top
R11,237.414,-134.239,0.0,top
R12,237.414,-136.779,0.0,top
R13,254.66,-131.191,180.0,top
R14,254.66,-133.731,180.0,top
R15,254.66,-136.271,180.0,top
R16,254.686,-138.811,180.0,top
R17,140.69,-146.177,180.0,top
R18,140.716,-143.637,180.0,top
R19,140.716,-140.589,180.0,top
R2,119.406,-39.37,0.0,top
R20,117.0791,-103.632,180.0,top
R21,102.8551,-103.632,180.0,top
R22,88.6311,-103.632,180.0,top
R23,60.1571,-103.632,180.0,top
R24,74.4071,-103.632,180.0,top
R25,31.7351,-103.632,180.0,top
R26,45.9331,-103.632,180.0,top
R27,31.7611,-131.572,180.0,top
R28,45.9591,-131.572,180.0,top
R29,60.1831,-131.572,180.0,top
R3,119.38,-41.91,0.0,top
R30,74.4071,-131.572,180.0,top
R31,88.6051,-131.572,180.0,top
R32,102.8291,-131.572,180.0,top
R33,117.0531,-131.572,180.0,top
R34,117.1051,-75.692,180.0,top
R35,102.8291,-75.692,180.0,top
R36,41.1665,-61.789,90.0,top
R37,77.2435,-62.026,90.0,top
R38,244.221,-52.324,180.0,top
R39,260.37,-73.666,90.0,top
R4,119.38,-44.958,0.0,top
R40,259.588,-96.494,90.0,top
R41,20.528,-98.518,180.0,top
R42,19.9985,-125.984,180.0,top
R43,170.688,-37.058,90.0,top
R5,136.626,-39.37,180.0,top
R6,136.626,-41.91,180.0,top
R7,136.626,-44.45,180.0,top
R8,136.626,-46.99,180.0,top
R9,237.414,-129.159,0.0,top
SW1,154.1631,-51.758,0.0,top
SW10,176.0023,-95.446,0.0,top
SW11,197.8511,-95.446,0.0,top
SW12,219.6951,-95.446,0.0,top
SW13,154.1631,-117.29,0.0,top
SW14,176.0071,-117.29,0.0,top
SW15,197.8511,-117.29,0.0,top
SW16,219.71,-117.2268,0.0,top
SW17,154.1631,-139.134,0.0,top
SW18,176.0071,-139.134,0.0,top
SW19,197.8454,-139.1453,0.0,top
SW2,176.0071,-51.758,0.0,top
SW20,219.6951,-139.134,0.0,top
SW3,197.8511,-51.758,0.0,top
SW4,219.6951,-51.758,0.0,top
SW5,154.1631,-73.602,0.0,top
SW6,176.0071,-73.602,0.0,top
SW7,197.8511,-73.602,0.0,top
SW8,219.6951,-73.602,0.0,top
SW9,154.1631,-95.446,0.0,top
U1,128.194,-41.529,0.0,top
U10,75.9311,-92.456,90.0,top
U11,33.2591,-92.456,90.0,top
U12,47.4831,-92.456,90.0,top
U13,33.2591,-120.396,90.0,top
U14,47.4831,-120.396,90.0,top
U15,61.7071,-120.396,90.0,top
U16,75.9311,-120.396,90.0,top
U17,90.1551,-120.396,90.0,top
U18,104.3791,-120.396,90.0,top
U19,118.6031,-120.396,90.0,top
U2,90.805,-75.727,270.0,top
U20,118.6031,-64.516,90.0,top
U21,104.3791,-64.516,90.0,top
U22,164.527,-32.639,270.0,top
U3,88.6311,-140.208,270.0,top
U4,246.05,-133.223,0.0,top
U5,132.08,-141.732,180.0,top
U6,118.6031,-92.456,90.0,top
U7,104.3791,-92.456,90.0,top
U8,90.1551,-92.456,90.0,top
U9,61.7071,-92.456,90.0,top
