Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D4.0mm_P2.00mm,1,10µF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C2, C3, C4, C5, C6, C7, C8, C9",0805,17,1µF,
"D1, D2",1206,2,LED,
J1,PinHeader_2x05_P2.54mm_Vertical,1,JTAG,
"J10, J3, J4, J5",PinHeader_1x01_P2.54mm_Vertical,4,Conn_01x01,
J11,PinHeader_2x25_P2.54mm_Vertical,1,TO_FP,
"J12, J16, J7, J8",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04,
"J13, J14",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
"J15, J9",PinSocket_1x04_P2.54mm_Vertical,2,RADIO_MODULE,
J2,PinHeader_2x22_P2.54mm_Vertical,1,TO_BACKPLANE,
J6,TerminalBlock_bornier-2_P5.08mm,1,AUDIO_OUT,
"R1, R10, R11, R13, R14, R16, R17, R2, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R39, R4, R5, R6, R7, R8, R9",1206,34,10K,
R12,1206,1,330,
"R15, R18",1206,2,1K,
R19,1206,1,33K,
R38,1206,1,2K,
R40,1206,1,1M,
RV1,Potentiometer_ACP_CA9-V10_Vertical,1,10K,
U1,LQFP-100_14x14mm_P0.5mm,1,EPM240T100,
U10,TSSOP-48_6.1x12.5mm_P0.5mm,1,SN74ALVC164245DGG,
"U11, U12, U13, U14, U20, U21, U22, U24, U27, U28, U33, U34, U35, U8, U9",SOT-23-5,15,SN74LV1T34DCK,
U15,SO-14_3.9x8.65mm_P1.27mm,1,74HC74,
U16,DIP-40_W15.24mm_Socket,1,gfmpw1-multi,
"U17, U18",DIP-8_W7.62mm,2,DAC7611,
U19,DIP-8_W7.62mm,1,LM358,
U2,SOT-23-5_HandSoldering,1,MCP1319MT-29LE-OT,
U23,DIP-18_W7.62mm,1,HT12D,
"U25, U26, U6",SO-20_12.8x7.5mm_P1.27mm,3,74HCT244,
U29,SO-14_3.9x8.65mm_P1.27mm,1,74HC32,
U3,DIP-8_W7.62mm_Socket,1,W25Q32FVSS,
"U30, U5",SO-20_12.8x7.5mm_P1.27mm,2,74HC574,
U31,SOT-23-5_HandSoldering,1,74AHC1G86,
U32,DIP-18_W7.62mm,1,HT12E,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
U7,SO-14_3.9x8.65mm_P1.27mm,1,74HCT74,
X1,Oscillator_DIP-8,1,CXO_DIP8,
