Designator,Mid X,Mid Y,Rotation,Layer
C1,66.0674,-47.244,0.0,top
C10,158.496,-59.9655,90.0,top
C11,204.724,-61.4895,90.0,top
C12,202.6705,-54.356,0.0,top
C13,51.2865,-120.904,0.0,top
C14,111.2305,-115.824,0.0,top
C15,144.7585,-97.028,0.0,top
C16,109.7495,-75.184,0.0,top
C17,95.9905,-54.864,0.0,top
C18,228.0705,-57.404,0.0,top
C2,118.364,-109.22,0.0,top
C3,141.732,-73.6815,90.0,top
C4,221.996,-132.6095,90.0,top
C5,233.1935,-132.588,180.0,top
C6,235.712,-120.396,270.0,top
C7,86.36,-48.2815,90.0,top
C8,47.2225,-46.736,0.0,top
C9,48.7465,-62.992,0.0,top
D1,130.5925,-66.548,180.0,top
D2,57.4405,-66.548,180.0,top
J1,107.442,-101.092,0.0,top
J10,241.808,-142.748,0.0,top
J11,190.5,-46.99,90.0,top
J12,105.41,-45.72,90.0,top
J13,39.116,-122.682,0.0,top
J14,137.922,-45.72,90.0,top
J15,242.799,-63.953,180.0,top
J16,117.094,-67.056,90.0,top
J2,113.538,-145.542,270.0,top
J3,44.196,-99.998,0.0,top
J4,44.196,-110.236,0.0,top
J5,40.132,-141.732,0.0,top
J6,241.3,-122.936,90.0,top
J7,78.994,-45.212,90.0,top
J8,56.134,-45.212,90.0,top
J9,38.608,-76.718,0.0,top
R1,158.014,-74.676,180.0,top
R10,102.538,-75.184,0.0,top
R11,137.16,-119.888,90.0,top
R12,130.53,-64.008,0.0,top
R13,220.446,-126.492,0.0,top
R14,220.498,-129.032,180.0,top
R15,240.766,-109.728,0.0,top
R16,218.44,-109.728,0.0,top
R17,218.414,-120.904,0.0,top
R18,241.782,-114.808,180.0,top
R19,55.88,-72.644,270.0,top
R2,107.162,-92.456,0.0,top
R20,56.87,-86.868,0.0,top
R21,56.87,-84.328,0.0,top
R22,56.87,-81.788,0.0,top
R23,56.87,-79.248,0.0,top
R24,61.976,-79.248,180.0,top
R25,63.5,-83.312,90.0,top
R26,49.784,-89.916,0.0,top
R27,60.96,-88.418,90.0,top
R28,232.664,-142.748,270.0,top
R29,190.526,-72.136,0.0,top
R3,102.616,-96.788,90.0,top
R30,190.526,-74.676,0.0,top
R31,181.356,-66.548,0.0,top
R32,159.512,-124.46,0.0,top
R33,159.538,-122.138,0.0,top
R34,99.568,-51.02,90.0,top
R35,103.632,-51.02,90.0,top
R36,107.5,-51.02,90.0,top
R37,111.252,-51.02,90.0,top
R38,62.484,-69.114,90.0,top
R39,239.902,-63.906,270.0,top
R4,102.616,-102.134,270.0,top
R40,235.33,-67.011,270.0,top
R5,101.574,-106.68,180.0,top
R6,96.012,-79.274,90.0,top
R7,93.472,-79.782,90.0,top
R8,127.508,-75.184,0.0,top
R9,102.59,-77.724,180.0,top
RV1,230.552,-112.308,0.0,top
U1,131.517,-89.956,270.0,top
U10,127.306,-119.7315,0.0,top
U11,90.292,-122.3065,270.0,top
U12,105.664,-122.3065,270.0,top
U13,100.584,-122.3065,270.0,top
U14,95.372,-122.3065,270.0,top
U15,207.199,-139.7,0.0,top
U16,191.008,-120.65,0.0,bottom
U17,210.566,-112.786,0.0,top
U18,210.322,-124.978,0.0,top
U19,228.61,-125.994,0.0,top
U2,158.162,-79.182,180.0,top
U20,78.806,-51.9375,270.0,top
U21,81.854,-68.4585,270.0,top
U22,55.814,-51.9375,270.0,top
U23,49.022,-76.708,0.0,top
U24,237.236,-142.748,180.0,top
U25,167.64,-61.976,90.0,top
U26,191.008,-61.976,90.0,top
U27,53.7265,-100.142,180.0,top
U28,53.7265,-110.302,180.0,top
U29,105.664,-58.42,90.0,top
U3,94.742,-79.23,0.0,bottom
U30,64.008,-125.984,270.0,top
U31,237.87,-73.107,180.0,top
U32,228.854,-70.612,0.0,top
U33,232.0345,-84.857,180.0,top
U34,237.7485,-77.237,180.0,top
U35,237.87,-81.743,180.0,top
U4,92.456,-132.08,270.0,top
U5,160.02,-134.62,0.0,top
U6,214.249,-62.154,90.0,top
U7,57.658,-143.829,270.0,top
U8,65.278,-143.894,90.0,top
U9,82.296,-145.796,180.0,top
X1,174.244,-103.124,0.0,top
