Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5, C7",CP_Radial_D4.0mm_P2.00mm,4,10µF,
"C10, C11, C12, C13, C14, C2, C4, C6, C8, C9",0805,10,100nF,
D1,1206,1,LED,
J1,PinHeader_2x06_P2.54mm_Vertical,1,FROM_CTRL,
J2,PinHeader_2x12_P2.54mm_Vertical,1,FROM_REGS,
J3,PinHeader_2x22_P2.54mm_Vertical,1,TO_BACKPLANE,
R1,1206,1,1K,
"R10, R2, R3, R4, R5, R6, R7, R8, R9",1206,9,10K,
"RN1, RN2, RN3",R_Array_SIP9,3,R_Network08,
"U1, U5",SO-14_3.9x8.65mm_P1.27mm,2,74HCT32,
"U10, U11, U12, U4, U9",SO-16_3.9x9.9mm_P1.27mm,5,74HCT157,
U13,SO-20_12.8x7.5mm_P1.27mm,1,74HC688,
"U14, U2, U8",SO-14_3.9x8.65mm_P1.27mm,3,74HCT08,
U15,SO-14_3.9x8.65mm_P1.27mm,1,74HC32,
"U16, U17",DIP-24_W15.24mm,2,28C16,
U18,SO-14_3.9x8.65mm_P1.27mm,1,74HCT00,
U19,SO-14_3.9x8.65mm_P1.27mm,1,74HC02,
"U20, U21, U22, U23",SO-20_12.8x7.5mm_P1.27mm,4,74HCT245,
"U24, U25, U26, U27",DIP-28_W7.62mm,4,IS61C256,
U3,SO-14_3.9x8.65mm_P1.27mm,1,74HCT04,
"U6, U7",SO-14_3.9x8.65mm_P1.27mm,2,74HCT11,
