Designator,Mid X,Mid Y,Rotation,Layer
C1,88.4194,-146.304,0.0,top
C10,192.0025,-117.856,0.0,top
C11,102.5945,-52.324,0.0,top
C12,146.2825,-111.76,0.0,top
C13,239.7545,-51.308,0.0,top
C14,58.42,-45.72,0.0,top
C2,109.7065,-130.048,0.0,top
C3,129.556,-114.808,0.0,top
C4,72.136,-131.064,0.0,top
C5,50.816,-100.584,0.0,top
C6,52.3025,-108.204,0.0,top
C7,187.976,-106.172,0.0,top
C8,148.3145,-69.088,0.0,top
C9,215.9,-99.568,0.0,top
D1,65.031,-136.868,0.0,top
J1,50.038,-73.914,0.0,top
J2,205.994,-48.006,90.0,top
J3,122.682,-145.542,270.0,top
R1,64.998,-139.7,180.0,top
R10,69.062,-138.176,270.0,top
R2,244.348,-141.758,90.0,top
R3,236.702,-142.24,0.0,top
R4,221.488,-90.932,180.0,top
R5,221.488,-85.852,180.0,top
R6,221.488,-81.28,180.0,top
R7,245.39,-96.52,180.0,top
R8,245.364,-92.456,180.0,top
R9,245.338,-88.392,180.0,top
RN1,200.157,-84.572,270.0,top
RN2,222.509,-127.259,270.0,top
RN3,247.909,-127.259,270.0,top
U1,86.36,-93.472,0.0,top
U10,143.729,-98.171,0.0,top
U11,164.592,-50.8,0.0,top
U12,138.684,-53.848,0.0,top
U13,64.186,-107.061,0.0,top
U14,74.168,-79.248,0.0,top
U15,119.38,-76.2,0.0,top
U16,167.64,-77.978,0.0,top
U17,167.635,-120.391,0.0,top
U18,59.371,-54.356,0.0,top
U19,118.299,-50.546,0.0,top
U2,86.898,-65.405,0.0,top
U20,138.684,-125.476,270.0,top
U21,120.396,-125.476,270.0,top
U22,100.457,-125.806,270.0,top
U23,81.61,-134.493,0.0,top
U24,212.095,-78.745,0.0,top
U25,236.235,-78.745,0.0,top
U26,212.095,-120.909,0.0,top
U27,236.479,-120.909,0.0,top
U3,59.371,-90.932,0.0,top
U4,74.168,-65.532,0.0,top
U5,101.565,-65.151,0.0,top
U6,97.601,-106.172,0.0,top
U7,113.857,-96.52,0.0,top
U8,80.329,-113.538,0.0,top
U9,191.481,-75.565,0.0,top
