Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C15, C3, C6, C8, C9",0805,10,100nF,
"C12, C16, C17, C2, C4, C5, C7",CP_Radial_D4.0mm_P2.00mm,7,10µF,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D3, D4, D5, D6, D7, D8, D9",1206,16,LED,
J1,PinHeader_2x22_P2.54mm_Vertical,1,TO_BACKPLANE,
J2,PinHeader_2x15_P2.54mm_Vertical,1,ACCUMULATOR_OUT,
J3,PinHeader_2x06_P2.54mm_Vertical,1,FROM_CTRL,
J4,PinHeader_2x12_P2.54mm_Vertical,1,TO_MEMORY,
J5,PinHeader_2x15_P2.54mm_Vertical,1,TO_FP,
"R1, R2, R3, R4, R5, R6, R8",1206,7,1K,
"R7, R9",1206,2,4.7K,
"U1, U11, U16, U17, U18, U33, U34, U35, U36, U7",SO-20_12.8x7.5mm_P1.27mm,10,74HC574,
"U10, U13, U2, U20, U21, U22, U23, U24, U25, U26, U3, U41, U42, U43, U44, U45, U5, U6, U9",SO-16_3.9x9.9mm_P1.27mm,19,74HCT157,
"U12, U15, U4, U46, U47, U48, U49, U8",SO-20_12.8x7.5mm_P1.27mm,8,74HC244,
"U14, U19, U31",SO-14_3.9x8.65mm_P1.27mm,3,74HC74,
"U27, U28",SO-14_3.9x8.65mm_P1.27mm,2,74HC86,
"U29, U30",SO-14_3.9x8.65mm_P1.27mm,2,74HC08,
U32,SO-14_3.9x8.65mm_P1.27mm,1,74HCT32,
"U37, U38, U39, U40",SO-20_12.8x7.5mm_P1.27mm,4,74HC688,
U50,SOIC-6,1,74AHC1G04,
