Designator,Mid X,Mid Y,Rotation,Layer
C1,88.8785,-88.392,0.0,top
C10,122.9145,-131.064,0.0,top
C11,228.0705,-62.484,0.0,top
C12,187.468,-104.14,0.0,top
C13,152.4215,-75.692,0.0,top
C14,64.5375,-139.192,0.0,top
C15,79.2265,-51.816,0.0,top
C16,184.896,-60.452,0.0,top
C17,161.528,-123.444,0.0,top
C2,89.932,-146.304,0.0,top
C3,231.14,-113.792,90.0,top
C4,89.9,-114.3,0.0,top
C5,229.124,-79.248,0.0,top
C6,137.16,-113.3055,90.0,top
C7,68.056,-95.504,0.0,top
C8,68.58,-65.532,0.0,top
C9,183.8745,-131.064,0.0,top
D1,105.638,-129.032,0.0,top
D10,154.051,-92.4925,270.0,top
D11,151.511,-92.4925,270.0,top
D12,148.971,-92.4925,270.0,top
D13,146.431,-92.4925,270.0,top
D14,143.891,-92.4925,270.0,top
D15,141.351,-92.456,270.0,top
D16,188.976,-138.176,180.0,top
D2,86.868,-129.54,90.0,top
D3,220.345,-130.013,90.0,top
D4,248.92,-144.603,90.0,top
D5,177.3285,-146.812,0.0,top
D6,163.576,-86.8315,90.0,top
D7,155.446,-113.599,0.0,top
D8,159.131,-92.456,270.0,top
D9,156.591,-92.456,270.0,top
J1,123.19,-147.066,270.0,top
J2,109.22,-50.038,90.0,top
J3,240.538,-48.514,90.0,top
J4,201.93,-49.022,90.0,top
J5,157.48,-49.022,270.0,top
R1,99.568,-129.032,0.0,top
R2,82.296,-132.588,0.0,top
R3,206.121,-130.013,270.0,top
R4,248.77,-138.658,90.0,top
R5,171.659,-146.777,0.0,top
R6,163.576,-91.9115,90.0,top
R7,161.391,-113.249,0.0,top
R8,142.748,-84.836,270.0,top
R9,194.056,-138.176,180.0,top
U1,108.331,-67.742,90.0,top
U10,119.415,-104.521,0.0,top
U11,107.696,-104.648,90.0,top
U12,78.232,-104.648,0.0,top
U13,100.457,-120.431,90.0,top
U14,114.046,-120.331,90.0,top
U15,78.562,-123.571,0.0,top
U16,207.264,-68.072,90.0,top
U17,207.137,-90.754,90.0,top
U18,207.137,-114.808,90.0,top
U19,213.233,-131.029,90.0,top
U2,96.612,-67.615,0.0,top
U20,195.707,-67.742,0.0,top
U21,218.532,-67.615,0.0,top
U22,195.488,-90.584,0.0,top
U23,218.821,-90.965,0.0,top
U24,195.996,-114.681,0.0,top
U25,218.278,-114.173,0.0,top
U26,198.374,-131.064,90.0,top
U27,214.122,-145.037,90.0,top
U28,235.458,-145.223,90.0,top
U29,201.168,-144.78,90.0,top
U3,119.98,-67.361,0.0,top
U30,188.468,-144.78,90.0,top
U31,174.752,-138.241,90.0,top
U32,146.747,-128.524,180.0,top
U33,241.681,-67.564,90.0,top
U34,241.681,-87.884,90.0,top
U35,241.808,-106.172,90.0,top
U36,241.681,-123.952,90.0,top
U37,58.42,-68.072,0.0,top
U38,58.42,-86.36,0.0,top
U39,58.42,-104.648,0.0,top
U4,78.232,-68.072,0.0,top
U40,58.75,-123.571,0.0,top
U41,173.101,-76.673,90.0,top
U42,172.466,-99.568,90.0,top
U43,172.593,-87.271,90.0,top
U44,172.466,-112.706,90.0,top
U45,172.466,-125.336,90.0,top
U46,166.954,-61.761,0.0,top
U47,140.538,-61.761,0.0,top
U48,153.746,-61.761,0.0,top
U49,150.876,-83.82,270.0,top
U5,96.555,-85.725,0.0,top
U50,123.302,-115.207,270.0,top
U6,119.853,-85.979,0.0,top
U7,108.204,-85.852,90.0,top
U8,78.232,-86.36,0.0,top
U9,96.047,-104.521,0.0,top
